City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Kerema,PG,76.14,overcast clouds,-7.9631,145.7785,Frena Lodge
560,Savannah Bight,HN,82.4,broken clouds,16.45,-85.85,Villa on Dunbar Rock
564,Nicoya,CR,89.6,clear sky,10.1483,-85.45200000000001,Guayacan Real
574,Kudahuvadhoo,MV,81.99,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
575,Kandrian,PG,75.87,overcast clouds,-6.2167,149.55,Kandrian Station
583,Quatre Cocos,MU,80.01,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
584,Labuan,MY,78.8,few clouds,5.2767,115.2417,Tiara Labuan Hotel
585,Port-Gentil,GA,82.4,few clouds,-0.7193,8.7815,Fengshui Residence
592,Manoel Urbano,BR,78.94,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
593,Pedasi,PA,83.46,scattered clouds,7.5333,-80.0333,Selina Pedasi
596,Necocli,CO,81.82,broken clouds,8.4234,-76.786,Hotel Boutique El Turista
597,Maceio,BR,80.6,clear sky,-9.6658,-35.7353,Poutur Pousada
601,Hadejia,NG,79.9,clear sky,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
609,Barreiras,BR,82.02,broken clouds,-12.1528,-44.99,Príncipe Hotel
611,Tiassale,CI,77.74,light rain,5.8983,-4.8283,Hotel La Villa Des Hotes Tiassale
619,Sola,VU,81.14,overcast clouds,-13.8833,167.55,Leumerus Bungalows
632,Moctezuma,MX,82.78,broken clouds,29.8,-109.6667,Hotel Lobohombo
634,Saint-Joseph,RE,77.0,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
641,Sungairaya,ID,75.81,overcast clouds,0.7,108.9,Mess P.Milu
643,Vila Velha,BR,84.0,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
644,Taganak,PH,78.8,few clouds,6.0833,118.3,Taganak
646,Maldonado,UY,78.8,few clouds,-34.6667,-54.9167,La Cimarrona
