City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Aklavik,CA,68.2191,-135.0107,-9.4,59,75,4.61,broken clouds
132,Yellowknife,CA,62.456,-114.3525,12.2,67,20,12.66,snow
133,Alta Floresta,BR,-9.8756,-56.0861,79.7,91,98,0.87,overcast clouds
134,Talnakh,RU,69.4865,88.3972,-10.7,89,100,6.33,overcast clouds
135,Bethel,US,41.3712,-73.414,37.0,43,14,4.0,few clouds
136,Pili,PH,13.5833,123.3,71.76,92,97,3.58,overcast clouds
137,Port Macquarie,AU,-31.4333,152.9167,66.99,99,15,7.25,few clouds
138,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,83,75,6.91,broken clouds
139,Salinopolis,BR,-0.6136,-47.3561,77.77,88,100,6.98,overcast clouds
140,Nhulunbuy,AU,-12.2333,136.7667,78.8,94,40,3.44,scattered clouds
141,Lavrentiya,RU,65.5833,-171.0,30.15,98,100,29.95,snow
142,Killybegs,IE,54.6333,-8.45,46.4,87,90,12.66,overcast clouds
143,Aykhal,RU,66.0,111.5,4.19,92,100,2.77,overcast clouds
144,Atuona,PF,-9.8,-139.0333,79.65,73,27,11.01,scattered clouds
145,Flin Flon,CA,54.7682,-101.865,46.4,36,20,12.66,few clouds
146,Kodiak,US,57.79,-152.4072,41.0,52,1,16.11,clear sky
147,Hobart,AU,-42.8794,147.3294,55.4,88,75,5.75,broken clouds
148,Odessa,UA,46.4775,30.7326,33.8,75,0,11.18,clear sky
149,Guerrero Negro,MX,27.9769,-114.0611,65.17,55,4,14.83,clear sky
150,Springdale,US,36.1867,-94.1288,64.99,27,1,11.5,clear sky
151,Arkhangelskoye,RU,55.8549,35.3287,18.19,96,78,9.93,broken clouds
152,Leningradskiy,RU,69.3833,178.4167,-15.03,87,100,7.38,overcast clouds
153,Zainsk,RU,55.3195,52.0694,14.0,79,90,11.18,light snow
154,Honiara,SB,-9.4333,159.95,80.1,78,100,2.13,moderate rain
155,Monrovia,LR,6.3005,-10.7969,78.8,94,20,8.57,few clouds
156,Suntar,RU,62.1444,117.6319,18.19,97,99,5.86,overcast clouds
157,Beira,MZ,-19.8436,34.8389,78.8,89,20,5.75,few clouds
158,Awbari,LY,26.5921,12.7805,75.97,17,4,18.1,clear sky
159,Ginda,IN,30.6945,78.4932,50.85,62,100,7.02,overcast clouds
160,Okha,RU,53.5739,142.9478,-6.68,90,29,11.27,scattered clouds
161,Nazare,BR,-13.035,-39.0144,79.02,80,42,6.35,scattered clouds
162,Vidalia,US,32.2177,-82.4135,62.6,19,1,9.22,clear sky
163,Puerto Plata,DO,19.7934,-70.6884,84.2,79,20,9.22,few clouds
164,Sept-Iles,CA,50.2001,-66.3821,28.99,46,75,16.11,broken clouds
165,Ilulissat,GL,69.2167,-51.1,19.4,68,75,9.22,broken clouds
166,Barrow,US,71.2906,-156.7887,-14.8,64,90,16.11,haze
167,Pisco,PE,-13.7,-76.2167,80.6,61,20,21.85,few clouds
168,Port Elizabeth,ZA,-33.918,25.5701,68.0,88,90,10.36,light rain
169,Dakar,SN,14.6937,-17.4441,69.8,56,0,24.16,clear sky
170,Narrabri,AU,-30.3167,149.7833,75.2,64,40,21.85,scattered clouds
171,Hwange,ZW,-18.3693,26.5019,68.43,75,61,1.57,broken clouds
172,Juigalpa,NI,12.1063,-85.3645,90.55,36,0,20.51,clear sky
173,Kavaratti,IN,10.5669,72.642,81.81,73,0,9.24,clear sky
174,Sorong,ID,-0.8833,131.25,79.41,81,94,5.75,overcast clouds
175,Kanniyakumari,IN,8.0833,77.5667,80.33,74,78,7.11,broken clouds
176,Camacha,PT,33.0833,-16.3333,59.0,94,75,7.65,broken clouds
177,East London,ZA,-33.0153,27.9116,70.52,80,72,7.07,broken clouds
178,Marsh Harbour,BS,26.5412,-77.0636,68.68,73,48,24.58,scattered clouds
179,Ust-Tsilma,RU,65.441,52.1498,-20.2,87,53,4.23,broken clouds
180,Hammerfest,NO,70.6634,23.6821,26.6,54,75,6.91,light snow
181,Amapa,BR,1.0,-52.0,75.79,96,100,2.82,overcast clouds
182,Suez,EG,29.9737,32.5263,59.4,62,0,10.65,clear sky
183,Dutse,NG,11.7594,9.3392,78.75,15,11,8.84,few clouds
184,Gat,IL,31.61,34.7642,55.99,100,0,2.42,clear sky
185,Dongning,CN,44.0622,131.1207,15.15,90,1,4.18,clear sky
186,Ribeira Grande,PT,38.5167,-28.7,60.8,100,75,12.66,light intensity drizzle
187,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,88,40,4.61,scattered clouds
188,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,80.51,81,3,4.94,clear sky
189,Kyren,RU,51.6828,102.1408,22.66,82,48,3.62,scattered clouds
190,Saint-Philippe,RE,-21.3585,55.7679,77.0,88,15,8.05,few clouds
191,Nouadhibou,MR,20.931,-17.0347,63.63,75,0,27.85,clear sky
192,Neuquen,AR,-38.9516,-68.0591,82.4,36,0,13.8,clear sky
193,Eyl,SO,7.9803,49.8164,74.39,82,0,12.75,clear sky
194,Mabaruma,GY,8.2,-59.7833,79.68,80,7,6.53,clear sky
195,Alofi,NU,-19.0595,-169.9187,82.4,89,75,8.05,broken clouds
196,Verkhnevilyuysk,RU,63.4453,120.3167,8.62,96,100,4.72,overcast clouds
197,Fortuna,US,40.5982,-124.1573,54.0,58,1,8.05,clear sky
198,Noicattaro,IT,41.0338,16.9896,50.0,77,73,1.7,broken clouds
199,Flinders,AU,-34.5833,150.8552,70.0,89,27,1.01,scattered clouds
